Código AMIE|Nombre de la Institución Educativa|Código División Política Administrativa Provincia|Provincia|Código División Política Administrativa  Cantón|Cantón|Código División Política Administrativa  Parroquia|Parroquia|Zona Administrativa|Denominación del Distrito|Código de Distrito|Código de Circuito Educativo| Unidad Administrativa Circuital (propuesta de ubicación)|Casos excepcionales|Sostenimiento|Régimen Escolar|Jurisdicción|Tipo de Educación|Modalidad|Jornada|Nivel|Etnia|Nacionalidad|Pueblo|Institución Educativa georeferenciada|Institución responsable|Acceso (terrestre/ aéreo/fluvial)|Número de estudiantes|Número de docentes|Estado
13H03829|NUEVA ESPERANZA|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|15|1|Activa
13H03832|1 DE OCTUBRE|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Particular|COSTA|Hispana|Educación regular|Presencial|Vespertina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|NO|1|Terrestre|72|11|Activa
13H03807|3 DE OCTUBRE|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|13|2|Activa
13H03808|RICARDO CHAVEZ MACIAS|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|25|2|Activa
13H03812|25 DE JUNIO|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|NULL|No aplica|No Aplica|NO|1|Terrestre|36|3|Activa
13H03813|JOSE MARIA VELASCO IBARRA|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|11|1|Activa
13H03817|JUAN MONTALVO|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|53|2|Activa
13H03821|MARIA BRIGIDA VILLEGAS LASCANO|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|32|2|Activa
13H03816|CENTRO DE EDUCACION LAS MERCEDES|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a|SI|0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|NO|1|Terrestre|132|12|Activa
13H03736|10 DE JUNIO|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|11|1|Activa
13H03768|ANTONIO JOSE DE SUCRE|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|45|2|Activa
13H04086|DANIEL MOREIRA|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|4|1|Activa
13H04741|ELOY ALFARO DELGADO|13|MANABI|1316|24 DE MAYO|131653|ARQ. SIXTO DURAN BALLEN|Zona 4|SANTA ANA – 24 DE MAYO – OLMEDO|13D04|13D04C09_a||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|2|Terrestre|18|1|Activa
